"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-8-2",,,,"User:","ubuntu"
"Cmdline:","dstat --output /home/ubuntu/stats_async/async_stats.csv -cdn",,,,"Date:","05 Dec 2016 23:46:57 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
1.056,0.343,98.551,0.038,0.000,0.012,3255.548,17277.867,0.0,0.0
54.0,9.500,36.500,0.0,0.0,0.0,0.0,0.0,736.0,3988.0
0.500,0.500,98.750,0.0,0.0,0.250,0.0,0.0,4212.0,3580.0
0.505,0.0,99.242,0.253,0.0,0.0,0.0,53248.0,216.0,290.0
0.0,0.504,99.496,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.252,0.252,99.496,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.0,0.250,98.250,0.500,0.0,0.0,0.0,20480.0,162.0,224.0
0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,120.0,224.0
0.754,0.0,99.246,0.0,0.0,0.0,0.0,0.0,120.0,224.0
0.754,0.251,98.995,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.750,0.500,98.750,0.0,0.0,0.0,0.0,8192.0,162.0,224.0
0.752,0.501,98.496,0.251,0.0,0.0,0.0,24576.0,216.0,298.0
0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,162.0,224.0
4.478,1.244,94.279,0.0,0.0,0.0,0.0,0.0,52355.0,19028.0
3.226,1.241,95.533,0.0,0.0,0.0,0.0,0.0,25340.0,19880.0
1.493,0.249,98.259,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.515,0.758,97.727,0.0,0.0,0.0,0.0,20480.0,20119.0,9022.0
1.253,0.501,98.246,0.0,0.0,0.0,0.0,0.0,7378.0,5849.0
1.250,0.250,98.500,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.500,0.750,98.750,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.003,0.251,98.747,0.0,0.0,0.0,0.0,53248.0,1011.0,1250.0
0.504,0.252,98.992,0.252,0.0,0.0,0.0,32768.0,282.0,290.0
0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.252,0.504,99.244,0.0,0.0,0.0,0.0,0.0,750.0,671.0
0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.754,0.0,99.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.500,0.500,98.500,0.500,0.0,0.0,0.0,20480.0,162.0,224.0
0.754,0.0,99.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.754,0.251,98.995,0.0,0.0,0.0,0.0,0.0,1601.0,1342.0
0.500,0.750,98.750,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.003,0.251,98.747,0.0,0.0,0.0,0.0,12288.0,2376.0,2461.0
1.247,0.499,98.005,0.249,0.0,0.0,0.0,40960.0,216.0,535.0
0.744,1.241,98.015,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.501,0.501,98.997,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.750,0.500,98.750,0.0,0.0,0.0,0.0,0.0,349.0,298.0
0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,767.0,1226.0
0.253,0.505,99.242,0.0,0.0,0.0,0.0,20480.0,2405.0,2263.0
1.241,0.496,98.015,0.0,0.0,0.248,0.0,0.0,1293.0,1290.0
1.003,0.251,98.747,0.0,0.0,0.0,0.0,0.0,1274.0,1479.0
0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.503,0.503,98.995,0.0,0.0,0.0,0.0,8192.0,162.0,224.0
0.501,0.501,97.995,1.003,0.0,0.0,0.0,24576.0,216.0,298.0
0.504,0.0,99.496,0.0,0.0,0.0,0.0,0.0,1823.0,1527.0
0.503,0.503,98.995,0.0,0.0,0.0,0.0,0.0,2347.0,3030.0
0.251,0.503,99.246,0.0,0.0,0.0,0.0,0.0,349.0,327.0
0.756,0.252,98.992,0.0,0.0,0.0,0.0,0.0,1199.0,1479.0
