Dstat 0.7.2 CSV output,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,
Host:,vm-8-1,,,,User:,ubuntu,,,
Cmdline:,dstat --output /home/ubuntu/output/sync_stats.csv -cdn,,,,Date:,04 Dec 2016 02:57:54 UTC,,,
total cpu usage,,,,,,dsk/total,,net/total,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send
2.409,0.782,96.701,0.062,0,0.046,20667.09,48860.558,0,0
32.5,3,64.5,0,0,0,0,0,4152,1198
12.03,8.772,79.198,0,0,0,0,0,4460,12392
16.121,12.846,70.781,0,0,0.252,0,0,20765,61586
15,13.25,71,0.5,0,0.25,0,77824,7902,5917
17.38,9.572,72.796,0,0,0.252,0,0,1350,1228
17.25,9.75,72.5,0,0,0.5,0,0,9188,9149
18.987,8.608,71.392,0,0,1.013,0,0,2506,2326
16.958,9.227,73.566,0,0,0.249,0,0,9121,10752
17.043,10.777,71.429,0.251,0,0.501,0,24576,8047,6409
17.293,10.526,71.429,0,0,0.752,0,12288,2340,1946
19.084,9.415,71.247,0,0,0.254,0,0,9584,12385
18.25,8.75,72.25,0,0,0.75,0,0,8339,7914
17.662,11.692,70.149,0,0,0.498,0,0,1526,1362
18.75,9.25,71.75,0,0,0.25,0,73728,9216,10031
15.306,12.245,72.449,0,0,0,0,0,10112,11829
18.204,10.474,70.574,0,0,0.748,0,0,2002,3252
17.337,10.05,72.362,0,0,0.251,0,0,8569,10440
17.706,9.726,71.571,0,0,0.998,0,0,9315,10932
17.25,11.75,70,0.5,0,0.5,0,28672,1498,1336
17.544,9.524,72.682,0,0,0.251,0,0,8115,6458
16.919,10.354,72.222,0,0,0.505,0,0,7437,5868
17.929,11.869,69.444,0,0,0.758,0,0,1854,1534
16.169,11.194,71.891,0,0,0.746,0,0,8984,7307
17.456,12.219,69.825,0,0,0.499,0,40960,7884,6001
18.045,10.276,71.429,0,0,0.251,0,8192,8630,7137
17.75,11.75,70,0,0,0.5,0,0,2310,7438
18.204,9.726,72.07,0,0,0,0,0,8381,9256
16.834,10.804,72.111,0,0,0.251,0,0,7681,6002
19.241,10.38,70.127,0,0,0.253,0,0,1498,1336
17.25,9.75,72.25,0.25,0,0.5,0,69632,8892,12001
16.25,11.75,71.5,0,0,0.5,0,0,8338,8935
17.722,11.392,70.38,0,0,0.506,0,0,2236,6778
18.25,9.25,72.25,0,0,0.25,0,0,8122,6799
15.75,10.5,73.25,0,0,0.5,0,0,8030,6175
19.202,10.723,68.828,0.748,0,0.499,0,131072,1350,1228
17.215,10.633,72.152,0,0,0,0,0,7305,5879
18.75,9,72,0,0,0.25,0,0,8056,6539
18.844,10.302,70.101,0,0,0.754,0,0,1424,1282
18.939,8.838,71.97,0,0,0.253,0,0,7660,5675
17.544,10.777,70.927,0.501,0,0.251,0,32768,9545,9855
18.25,10.5,71,0,0,0.25,0,0,2028,1806
17.207,11.721,70.324,0,0,0.748,0,0,7463,5728
18.454,9.975,70.823,0,0,0.748,0,0,1350,1362
18.296,8.521,72.682,0,0,0.501,0,0,8151,6854
17.722,11.139,70.38,0.253,0,0.506,0,40960,7770,5813
18.342,10.302,70.603,0,0,0.754,0,0,1584,1470
16.541,10.526,72.431,0,0,0.501,0,0,7993,6816
16.667,11.443,71.393,0,0,0.498,0,0,7451,5654
17.25,12.25,69.75,0,0,0.75,0,0,1748,1602
16.834,11.055,71.106,0.503,0,0.503,0,40960,8051,6181
15.711,12.469,71.072,0,0,0.748,0,0,7991,6864
18.5,9,72.5,0,0,0,0,0,1308,1228
18.25,11,70.5,0,0,0.25,0,0,7498,5881
19.5,7.75,72.25,0,0,0.5,0,0,8082,6505
18.64,10.327,70.025,0.504,0,0.504,0,20480,1350,1228
18.797,8.521,72.18,0,0,0.501,0,0,7959,6742
16.459,11.721,71.82,0,0,0,0,0,7253,5956
18.782,10.406,70.305,0,0,0.508,0,0,1424,1282
17.75,8.25,73.75,0,0,0.25,0,0,8026,6569
17,10.25,72.25,0,0,0.5,0,20480,7280,5624
17.794,12.03,69.424,0,0,0.752,0,0,1350,1228
17.25,10,72.25,0,0,0.5,0,0,7970,6951
15.869,12.091,71.537,0,0,0.504,0,0,7716,6127
19.048,9.774,70.677,0,0,0.501,0,0,1350,1228
17.75,9.5,72,0.25,0,0.5,0,20480,7879,6762
16.5,12.25,70.5,0,0,0.75,0,0,7770,6041
20.75,8.25,70.5,0,0,0.5,0,0,1424,1282
18.5,9,72.5,0,0,0,0,0,7824,6891
16.418,12.189,70.647,0,0,0.746,0,0,7734,6213
18.342,10.553,70.352,0.503,0,0.251,0,57344,8093,6678
18.797,9.023,71.429,0,0,0.752,0,0,1350,1228
19.95,8.978,70.823,0,0,0.249,0,0,7306,5681
16.25,11.5,71.5,0,0,0.75,0,0,8970,8537
17.303,10.178,72.01,0,0,0.509,0,0,1914,3742
17.38,10.327,72.04,0,0,0.252,0,32768,7753,6143
17.677,10.354,71.717,0,0,0.253,0,0,7992,6921
18.317,12.624,68.069,0,0,0.99,0,0,1382,1282
17.413,9.701,72.886,0,0,0,0,0,8078,6145
17.128,10.327,72.544,0,0,0,0,0,7925,6952
18.939,10.859,69.192,0,0,1.01,0,40960,1616,1524
17.293,9.774,72.682,0,0,0.251,0,0,7573,5788
16.792,9.774,72.431,0,0,1.003,0,0,8279,7030
17.424,11.111,70.96,0,0,0.505,0,0,1600,1494
18.342,9.548,71.859,0,0,0.251,0,0,7796,6135
17.884,9.32,72.04,0.252,0,0.504,0,40960,8270,7136
18.703,10.224,70.324,0,0,0.748,0,0,1350,1228
17.955,9.975,71.82,0,0,0.249,0,0,7522,6029
18.204,9.476,71.82,0,0,0.499,0,0,7953,6583
17.91,10.945,70.896,0,0,0.249,0,0,1424,1282
17.588,10.05,71.357,0.503,0,0.503,0,20480,7602,6082
16.708,10.723,71.82,0,0,0.748,0,0,8142,6517
17.544,10.025,71.93,0,0,0.501,0,0,1350,1228
18.5,10.25,71.25,0,0,0,0,0,7448,5983
17.293,10.526,71.679,0,0,0.501,0,0,7814,6557
19.598,8.794,70.603,0.251,0,0.754,0,20480,1524,1270
18.09,9.548,72.111,0,0,0.251,0,0,7869,6620
17,10,72.5,0,0,0.5,0,0,7535,5724
18.593,11.809,69.347,0,0,0.251,0,0,1382,1282
17.337,10.05,72.362,0,0,0.251,0,0,8810,7381
17,12,70,0.25,0,0.75,0,20480,8014,5949
16.75,12,71,0,0,0.25,0,0,7916,6625
19.048,11.278,69.674,0,0,0,0,0,1548,1330
19.048,8.271,72.682,0,0,0,0,0,8382,7031
15.711,12.219,71.82,0,0,0.249,0,0,8347,6820
17.337,11.809,69.849,0.503,0,0.503,0,102400,2351,3257
16.792,10.526,72.431,0,0,0.251,0,0,10065,8996
17.38,10.327,71.537,0,0,0.756,0,0,8591,6998
19.048,10.276,69.925,0,0,0.752,0,0,2060,1982
18,9.75,72,0,0,0.25,0,0,7856,6743
18.25,10.5,69.75,0.25,0,1.25,0,61440,7935,6492
17.043,10.276,72.18,0,0,0.501,0,0,8037,6644
16.625,11.911,70.471,0,0,0.993,0,0,2400,1840
18.892,9.32,71.788,0,0,0,0,0,8262,6295
16.129,11.414,71.712,0,0,0.744,0,0,8291,6638
17.413,10.697,71.144,0.498,0,0.249,0,36864,2358,1888
17.75,9.75,72.25,0,0,0.25,0,0,9364,7309
16.08,10.804,72.111,0,0,1.005,0,0,8604,6433
18.388,11.839,69.018,0,0,0.756,0,0,1592,1384
16.792,10.777,72.431,0,0,0,0,0,8044,6710
15.881,13.4,69.727,0.496,0,0.496,40960,20480,8100,6955
18.342,10.05,70.854,0,0,0.754,0,0,1392,1270
17.38,9.068,73.3,0,0,0.252,0,0,7754,6393
16,13.25,69.75,0,0,1,0,0,7446,5746
15.365,12.091,71.788,0,0,0.756,0,0,1350,1228
16.209,11.222,71.571,0.499,0,0.499,0,49152,7960,6809
15.443,11.646,72.152,0,0,0.759,0,0,7713,6126
18.228,9.873,70.633,0,0,1.266,0,0,1382,1282
17.794,7.268,74.937,0,0,0,0,0,8009,6740
16.332,11.055,72.111,0,0,0.503,0,0,7618,5769
