"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-8-5",,,,"User:","ubuntu"
"Cmdline:","dstat --output /home/ubuntu/output/sync_stats.csv -cdn",,,,"Date:","04 Dec 2016 02:57:54 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
1.193,0.436,98.325,0.036,0.000,0.011,2816.882,17800.691,0.0,0.0
15.578,4.020,80.402,0.0,0.0,0.0,0.0,0.0,228.0,712.0
1.504,1.003,97.494,0.0,0.0,0.0,0.0,0.0,18608.0,6207.0
0.503,0.251,98.995,0.251,0.0,0.0,0.0,65536.0,2592.0,2062.0
1.005,0.0,98.995,0.0,0.0,0.0,0.0,0.0,1433.0,1936.0
0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,349.0,290.0
0.750,0.500,98.750,0.0,0.0,0.0,0.0,0.0,1487.0,1647.0
0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,361.0,622.0
0.750,0.500,98.750,0.0,0.0,0.0,0.0,16384.0,1636.0,1933.0
1.003,0.251,98.496,0.251,0.0,0.0,0.0,24576.0,1465.0,1766.0
0.501,0.752,98.747,0.0,0.0,0.0,0.0,0.0,1826.0,1933.0
0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,349.0,539.0
0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,1569.0,2014.0
0.500,0.750,98.750,0.0,0.0,0.0,0.0,0.0,349.0,327.0
0.750,0.250,98.250,0.500,0.0,0.250,0.0,20480.0,1690.0,2059.0
1.0,0.250,98.750,0.0,0.0,0.0,0.0,0.0,1561.0,1745.0
0.501,0.752,98.747,0.0,0.0,0.0,0.0,0.0,349.0,556.0
1.0,0.250,98.750,0.0,0.0,0.0,0.0,0.0,1802.0,2093.0
0.500,1.0,98.500,0.0,0.0,0.0,0.0,0.0,1540.0,1665.0
0.499,0.998,98.504,0.0,0.0,0.0,0.0,0.0,349.0,535.0
0.750,0.750,98.0,0.500,0.0,0.0,0.0,20480.0,1692.0,2079.0
0.998,0.499,98.504,0.0,0.0,0.0,0.0,0.0,1476.0,1615.0
1.003,0.0,98.997,0.0,0.0,0.0,0.0,0.0,349.0,539.0
1.003,0.251,98.747,0.0,0.0,0.0,0.0,0.0,1672.0,1913.0
0.504,0.504,98.992,0.0,0.0,0.0,0.0,0.0,1435.0,1711.0
1.003,0.251,98.496,0.251,0.0,0.0,0.0,20480.0,1746.0,2056.0
0.251,0.754,98.995,0.0,0.0,0.0,0.0,0.0,349.0,556.0
1.0,0.750,98.250,0.0,0.0,0.0,0.0,0.0,1726.0,1987.0
1.0,0.500,98.500,0.0,0.0,0.0,0.0,28672.0,1493.0,1679.0
0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,349.0,556.0
0.503,0.754,98.241,0.503,0.0,0.0,0.0,32768.0,1688.0,1993.0
0.754,0.503,98.744,0.0,0.0,0.0,0.0,0.0,1567.0,1711.0
0.500,0.750,98.750,0.0,0.0,0.0,0.0,0.0,349.0,630.0
0.501,0.752,98.747,0.0,0.0,0.0,0.0,12288.0,1628.0,1947.0
0.754,0.251,98.995,0.0,0.0,0.0,0.0,0.0,1423.0,1663.0
0.750,0.500,98.750,0.0,0.0,0.0,0.0,0.0,349.0,552.0
0.251,1.003,98.496,0.251,0.0,0.0,0.0,28672.0,1497.0,1899.0
0.504,0.252,99.244,0.0,0.0,0.0,0.0,0.0,1792.0,1927.0
0.504,0.0,99.496,0.0,0.0,0.0,0.0,61440.0,349.0,519.0
1.0,0.250,98.750,0.0,0.0,0.0,0.0,0.0,1423.0,1888.0
0.756,0.0,99.244,0.0,0.0,0.0,0.0,0.0,1828.0,1949.0
0.752,0.251,98.246,0.752,0.0,0.0,0.0,24576.0,349.0,543.0
0.503,0.503,98.995,0.0,0.0,0.0,0.0,0.0,1423.0,1888.0
0.998,0.748,98.254,0.0,0.0,0.0,0.0,0.0,349.0,327.0
0.501,1.003,98.496,0.0,0.0,0.0,0.0,0.0,1614.0,1887.0
0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,1439.0,1968.0
0.252,0.252,99.496,0.0,0.0,0.0,0.0,0.0,391.0,327.0
0.503,0.251,98.744,0.503,0.0,0.0,0.0,20480.0,1783.0,2012.0
0.752,0.501,98.747,0.0,0.0,0.0,0.0,0.0,1429.0,1679.0
0.252,0.252,99.496,0.0,0.0,0.0,0.0,0.0,349.0,556.0
0.501,0.501,98.997,0.0,0.0,0.0,0.0,0.0,1703.0,2502.0
1.003,0.251,98.747,0.0,0.0,0.0,0.0,0.0,1762.0,1853.0
0.750,0.500,98.500,0.250,0.0,0.0,0.0,20480.0,307.0,519.0
