"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-8-4",,,,"User:","ubuntu"
"Cmdline:","dstat --output /home/ubuntu/output/sync_stats_4.csv -cdn",,,,"Date:","06 Dec 2016 05:38:28 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
1.510,0.419,98.017,0.043,0.000,0.012,3111.609,18659.193,0.0,0.0
28.148,9.136,8.889,53.827,0.0,0.0,23158784.0,57344.0,108.0,66.0
54.856,9.449,20.210,15.486,0.0,0.0,5619712.0,0.0,174.0,933.0
1.013,0.506,98.481,0.0,0.0,0.0,147456.0,20480.0,330.0,3232.0
1.253,0.752,97.995,0.0,0.0,0.0,0.0,0.0,108.0,230.0
1.008,0.504,97.733,0.756,0.0,0.0,73728.0,0.0,4440.0,4096.0
6.500,3.250,82.0,8.250,0.0,0.0,5824512.0,0.0,86780.0,34779.0
2.267,0.252,97.481,0.0,0.0,0.0,0.0,24576.0,9342.0,7069.0
1.515,1.010,97.475,0.0,0.0,0.0,0.0,0.0,6025.0,8734.0
1.754,0.752,97.494,0.0,0.0,0.0,0.0,0.0,6203.0,7170.0
0.758,0.253,98.990,0.0,0.0,0.0,0.0,0.0,856.0,642.0
1.504,1.003,97.494,0.0,0.0,0.0,0.0,0.0,6126.0,7644.0
1.259,0.504,98.237,0.0,0.0,0.0,0.0,0.0,6199.0,7401.0
1.256,0.503,97.990,0.251,0.0,0.0,0.0,61440.0,5446.0,6704.0
1.259,0.504,98.237,0.0,0.0,0.0,0.0,0.0,5778.0,7129.0
1.253,0.501,98.246,0.0,0.0,0.0,0.0,0.0,3852.0,1277.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,0.0,2708.0,6267.0
1.754,0.251,97.995,0.0,0.0,0.0,0.0,0.0,6495.0,7360.0
1.263,0.253,98.485,0.0,0.0,0.0,0.0,0.0,5324.0,6492.0
